PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),NUTS 2021,Responsible organisation,Responsible organisation category,Functions of Government (COFOG level I),Functions of Government (COFOG level II), Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Primary Technology,Secondary Technology,Interaction,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Collaboration type,Procurement (EU Model Contractual AI),Funding source,GovTech,Company name or GovTech ID,GovTech Initiative + ID,Open components in input,Open components in output,Stories link,Date updated,Unnamed: 56
PSTW-823,Diploma Notarisation,https://www.ice.it/it/utilizzo-della-tecnologia-blockchain-la-notarizzazione-dei-diplomi-del-52deg-corce-f-de-franceschi,"ICE, the Agency for the promotion abroad and internationalisation of Italian companies has recently launched a pilot project for the use of blockchain technology to certify diplomas of the 52nd CORCE Fausto De Franceschi, accredited Master for the internationalisation of companies ASFOR. The procedure, implemented through the so-called ""notarisation"" of data through distributed registers, guarantees the saving of information on the diplomas issued by attributing certain date, proof of paternity and immutability. ",National,Italy,IT,ICE - Agenzia per la promozione all'estero e l'internazionalizzazione delle imprese italiane,Central-Government,Education,Tertiary education.,Pilot,2021,,Enforcement,Certification and validation processes,No,No,Blockchain,,G2C,x,,,,X,,,,,,,,,,x,X,,,https://www.ice.it/it/utilizzo-della-tecnologia-blockchain-la-notarizzazione-dei-diplomi-del-52deg-corce-f-de-franceschi,,,,,,,GovTech,,National-funded project,Yes,Blockchain Italia (GTS-1100),,,,,25/07/2025,
PSTW-826,"Swiss Ledger: Private, institutional and non-profit blockchain network",https://ledger.swiss/,"The Swiss municipality of Lugano, in the Canton of Ticino, has implemented its private, institutional and non-profit blockchain. It is called ""Swiss Ledger"" and it is freely usable by companies and public bodies, as well as by the academic and research world. The aim of the project, introduced as part of the Lugano Living Lab's economic promotion activity, is to make the city a reference point in the world of blockchain technology. Accessibility represents a focal point for the Lugano blockchain. In fact, the project allows anyone, from companies to individual citizens , to approach this innovative tool quickly and easily. Users also enjoy advantageous tariff plans, which encourage experimentation and the launch of new business ideas. Finally, the infrastructure is based on entirely open-source technologies, so that the benefits of innovation can always be shared.",Local,Switzerland,CH,Municipality of Lugano,Local Government,General public services,R&D general public services.,Implemented,2021,,Public services and engagement,Data Sharing Management,No,Yes,Blockchain,,G2B,x,,,X,X,X,,,,,,,,,x,X,,,https://eceuropaeu.sharepoint.com/:x:/r/teams/GRP-AIPS/_layouts/15/Doc.aspx?sourcedoc=%7BE9C20DAE-8ECF-431E-B96F-D7480B82426B%7D&file=AIWT6-IPSO-cases_db.xlsx&action=default&mobileredirect=true&cid=a5fa0bbc-e2aa-4fe9-b833-c708bb1cc724,,,,,,,GovTech,,Local-funded project,Yes,,Lugano Living Lab (GTI-130),,,,25/07/2025,
PSTW-889,"""Donate a Speech"": Estonia crowdsources speech data for the preservation of the Estonian language",https://govinsider.asia/inclusive-gov/estonia-crowdsources-speech-data-for-the-preservation-of-the-estonian-language/,"Estonia’s Ministry of Economic Affairs and Communications (MKM) and the State Information System Agency launched the “Donate a Speech” campaign, with the goal of preserving the Estonian language and developing language technologies to bolster the delivery of public services for Estonian speakers. By creating an open database of 4,000 hours of spoken language, the nation aims to support companies, public sector institutions and research institutions in creating services and products based on speech technology. Speech technology can be used to record meetings, convert interviews into written form, and generate automatic subtitles to media. The campaign aims to promote the uptake of language technologies in public sector information systems as well as the private sector, including speech recognition technology, real-time subtitling solutions, and text to speech software. This will improve access to services and provide better ways for Estonians to interact with public and private sector services.",National,Estonia,EE,Ministry of Economic Affairs and Communications (MKM),Central-Government,"Recreation, culture and religion",Cultural services.,In development,2022,,"Analysis, monitoring and regulatory research",Innovating Public Policy ,No,Yes,Artificial Intelligence,,G2C,x,,,x,x,,,,,,,,,,,,,,https://govinsider.asia/inclusive-gov/estonia-crowdsources-speech-data-for-the-preservation-of-the-estonian-language/,Perception,Audio processing,Knowledge representation,Machine learning,,speech processing,,,National-funded project,,,,,,,28/07/2025,
PSTW-902,"SensusQ: transforming information into knowledge with the help of automation, integration, and interoperability",https://investinestonia.com/defence59-presents-sensusq-an-intelligence-gathering-solution-changing-how-data-becomes-knowledge/?utm_source=twitter&utm_medium=content&utm_campaign=socialmedia&utm_content=defence59-presents-sensusq-an-intelligence-gathering-solution-changing-how-data-becomes-knowledge,"Data is often unstructured and processing it all is complicated and ineffective, which makes analysing and extracting valuable insight time-consuming. People in high-pressure scenarios and environments, especially in combat situations, however, lack the luxury of weeks or even days to spend on such analysis. This often results in delayed or ill-informed decisions at the worst possible times. SensusQ is an Estonian DefenceTech company providing a solution that helps transform information into knowledge with the help of automation, integration, and interoperability, promotedby the Estonian Investment Agency. SensusQ’s Verdandi mobile app turns every boot on the ground into a sensor. That, in addition to other integrated sources, feeds into the intelligence management system. Events are mapped, connections formed, and decisions made. Commanders benefit from increased situational understanding for decision-making and analyst specialists from optimised data handling and analytics, while troops get a simple reporting toolset and access to information most relevant to them.",National,Estonia,EE,Estonian Investment Agency,Central-Government,General public services,,Implemented,2023,,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,https://investinestonia.com/defence59-presents-sensusq-an-intelligence-gathering-solution-changing-how-data-becomes-knowledge/?utm_source=twitter&utm_medium=content&utm_campaign=socialmedia&utm_content=defence59-presents-sensusq-an-intelligence-gathering-solution-changing-how-data-becomes-knowledge,Perception,Machine learning,Optimisation,,,internet of things,GovTech,,National-funded project,Yes,SensusQ (GTS-1102),,,,,28/07/2025,
PSTW-912,Signals - Detection of statistically significant clusters in reported infectious diseases,https://www.rki.de/EN/Topics/Infectious-diseases/Reporting-system/Signale/About-the-Signale-system/about-the-signale-system.html,"The Signals project, funded by the Federal Ministry of Health, focuses on developing an early warning system for epidemiological outbreaks. Signals are defined as a statistically unlikely accumulation of cases within a week, hinting at a possible outbreak. The project uses a filter combination approach, aggregating reported illness cases based on defined characteristics like pathogen, sex, or reporting location. An estimate is made for expected cases, a limit value is set, and if observed cases exceed the limit, a signal is generated. The initiative collaborates with the ITU and WHO's Focus Group AI for Health (FG-AI4H) to establish AI evaluation standards in the health sector.",National,Germany,DE,Robert Koch Institut (RKI) ,Central-Government,Health,Public health services.,Implemented,2015,,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,https://www.rki.de/DE/Content/Infekt/IfSG/Signale/Projekte/Signale_Projekte.html,Learning,Machine learning,,,,pattern recognition,"Consortium (research institutions, private sector and other PAs)",,National-funded project,,,,,,,28/07/2025,
PSTW-1886,Optimised building use with artificial intelligence,https://govtechmidtjylland.dk/om-gtm/projekter/optimeret-bygningsanvendelse-med-ai,"The project aimed to reduce energy and CO2 consumption in primary schools by gathering activities through intelligent room allocation using building data, IoT solutions (Internet of Things) and artificial intelligence. Primary schools make up a large part of the municipalities' building stock. The buildings are typically characterized by their old age and a backlog in relation to energy renovation, as well as a low degree of use of the premises. There is therefore great potential in optimizing building use for this particular type of municipal buildings, especially in the afternoon hours and at the weekend, when the buildings are used to varying extents by, for example, leisure organisations. The project is based on the ""Smarte Kvadratmeter"" project from Syddjurs Municipality and uses mature technology platforms and existing data sets as a basis for spreading intelligent algorithms in the school area. Against this background, the solution was able to deliver recommendations for action which can optimize the use of specific buildings and can thereby lead to energy optimisation. The solution's algorithm was basically developed as open-source with a view to increased dissemination.",Local,Denmark,DK,"GovTech Midtjylland, Favrskov, Syddjurs and Aarhus Municipality ",Local Government,Environmental protection,Environmental protection n.e.c.,Pilot,2022,2024,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,,x,,,,,,,,https://digst.dk/kunstig-intelligens/signaturprojekter/,Planning,Planning and Scheduling,Optimisation,,,,,,National-funded project,,,,,,,25/08/2025,
PSTW-1889,Artificial intelligence to support the visitation of rehabilitation courses (AIR Project),https://digit.au.dk/research-projects/air,"AI-Rehabilitering (AIR) is one of seven government-funded signature projects, that aims to test and evaluate artificial intelligence in a municipal setting. More concretely, the AIR project focuses on the use of artificial intelligence as a tool to support municipal case workers, when they evaluate citizens, that are planned to participate in a rehabilitation course. Artificial intelligence can improve the level of service in the public sector, but there is little experience with such technology in the sector. The Danish Government (Regeringen), KL (Kommunernes Landsforening) and Danish Regions (Danske Regioner) has agreed that Danish municipalities should test artificial intelligence solutions to better understand how these can be utilized to improve the quality and capacity in the public sector in the future. The goal of AIR is to develop a decision-support tool, that can provide case workers with an objective measurement of a citizen’s current eligibility for a certain rehabilitation course, their risk of failing during such a course and an estimate of how well the citizen is thought to do in the course. Current courses span 12 weeks and consist of physical exercises done several times a week by the citizen and evaluated at regular intermediate steps by the care assistant. Performance is measured in terms of improved self-sufficiency and reduced reliance on home help. AIR is anchored in the Municipality of Aalborg and will pave the way for a solution based on models and statistics, that can support the individual professional assessment done by the case worker when it comes to choosing the right course of action of rehabilitation, including specific initiatives, improved utilization of assistive aids and fall prevention.",Local,Denmark,DK,Aalborg Municipality and Rødovre Municipality,Local Government,Health,Hospital services.,Pilot,2022,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,,x,x,x,,,,,,,,,,,,,,https://digst.dk/digital-transformation/signaturprojekter/,Planning,Planning and Scheduling,Optimisation,,,,,,National-funded project,,,,,,,09/10/2024,
PSTW-1948,"Acquedotto 4.0, Hera invests in artificial intelligence",https://www.firstonline.info/en/acquedotto-4-0-hera-investe-sullintelligenza-artificiale/,"The pilot project Acquedotto 4.0 took place in 3 municipalities in the Emilia-Romagna region. Low-cost sensors were combined with machine learning to monitor the cities' water infrastructure for leaks. It turned out that the water flow has a particular sound, and these sensors can be trained to detect when and where a pipe is leaking. This spares the municipal government from having to tear up the streets and disrupt traffic every time there’s a problem",Local,Italy,IT,"Municipalities of Santarcangelo di Romagna, Riccione and Cattolica ",Local Government,Housing and community amenities,Water supply.,Pilot,2020,2021,Internal management,Internal support processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,x,,,x,,,,,,,,https://www.firstonline.info/en/acquedotto-4-0-hera-investe-sullintelligenza-artificiale/,Learning,Machine learning,Optimisation,,,,"Consortium (research institutions, private sector and other PAs)",,Funded with own resources,,,,,,,07/10/2024,
PSTW-2309,Curve Real Time - Monitoring TV Audience,https://www.osservatori.net/artificial-intelligence/convegno-ai-application-talk-2024-convegno/,"RAI's project focuses on integrating artificial intelligence (AI) to enhance its public broadcasting services, aiming to become a data-driven media company. Key areas of AI application include improving data governance, automating production processes, and creating a more user-centric experience through tools like metadata enrichment, recommendation engines, and entity recognition. A significant use case is the ""Curve Real Time"" project, which tracks TV audiences and analyzes real-time reactions to broadcast content. RAI aims to optimize operations, increase sustainability, and support social inclusion, while also ensuring regulatory compliance with the AI Act. Challenges include competing with American and Chinese tech giants and avoiding technological lock-in by adopting open-source solutions. Collaboration at national and European levels is necessary for tailored AI development. Different types of AI, such as descriptive, predictive, and generative AI, are employed to enhance both content creation and consumption.
",National,Italy,IT,Radio Televisione Italiana,Central-Government,"Recreation, culture and religion",Cultural services.,In development,2024,,Internal management,Internal primary processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,,,x,,,,,,,,https://www.osservatori.net/artificial-intelligence/convegno-ai-application-talk-2024-convegno/,Learning,Machine learning,Generative AI,Knowledge representation,,,,,,,,,,,,29/01/2025,
PSTW-2314,GladGPT for municipality employees in Gladsaxe,https://publications.jrc.ec.europa.eu/repository/handle/JRC138702,"In 2023, the municipality of Gladsaxe launched GladGPT, an internal chatbot based on the technology of OpenAI ChatGPT 4, operated in a closed environment. The chatbot is trained on all content of Gladsaxe’s intranet and selected parts of the municipality’s website to help employees with a wide range of tasks, from finding information to generating text drafts.",Local,Denmark,DK,Gladsaxe Municipality,Local Government,General public services,General services.,Implemented,2023,,Internal management,Internal primary processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,,,,,,"https://www.linkedin.com/posts/gladsaxekommune_gladsaxe-digitalisering-ai-activity-7137789235339612162-Ak4F?utm_source=share&utm_medium=member_desktop
https://www.sn.dk/art542048/gladsaxe/teknologi/borgmester-vi-har-60-robotter-i-fast-drift/",Learning,Machine learning,Generative AI,Automated reasoning and Automated Decision Making (ADM),,,Private corporation,,Local-funded project,,,,,,,23/10/2025,
PSTW-2343,SAFELIGHT project: Analysis of visibility in roads and streets during the night to avoid accidents of vulnerable users,https://www.eiturbanmobility.eu/projects/safelight/,"Some locations, such as pedestrian crossings, bicycle lanes, and narrow sidewalks near the roadway, can pose risky situations if visibility is inadequate. The service developed within the SAFELIGHT project analyses visibility on roads and streets and, using data obtained by the Autonomous Urban Inspector, automatically detects high-risk locations for vulnerable users. Special care will be taken to ensure that these automated evaluations can easily be integrated in the usual urban maintenance operations. The host cities will use this ‘Autonomous Inspector for Lighting’ to discover critical locations regarding illumination, and Flash Lighting will recommend the best solutions for each location. A second automated inspection will be performed after the implementation of the lighting modifications, to validate the improvement for VRU visibility in the affected locations, with the goal that the ‘Autonomous Urban Inspector for Lighting’ is a useful tool for the  reduction of traffic accidents. ",Across Countries,Spain,ES30,Municipality of Las Rozas de Madrid,Local Government,Public order and safety,Street lighting.,Implemented,2025,,Enforcement,Smart Recognition processes,Yes,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,Self-reporting tool ,Perception,Computer vision,,,,,GovTech,,EU-funded project,Yes,ASIMOB (https://asimob.es/) GTS-784,,,,,30/09/2025,
PSTW-2358,SAFELY - Road Safety Analytics System,https://www.eiturbanmobility.eu/projects/safely/,"Safely is a data-driven road safety analytics platform that helps municipalities shift from reactive accident monitoring to proactive risk prevention. By integrating accident records with traffic patterns, road geometry, environmental data, and citizen feedback, the platform provides a holistic view of safety risks. Advanced clustering algorithms (DBSCAN, ST-DBSCAN) reveal hidden hazards not visible in raw crash statistics, enabling authorities to prioritize interventions, allocate resources more effectively, and improve evidence-based planning. The platform has demonstrated measurable impact: in Şanlıurfa, Turkey, Safely supported interventions that reduced reported accidents by over 80% and injuries by 90% between 2014–2015 and 2020–2021. Municipal stakeholders praised its clear hazard maps, actionable insights, and ability to capture risks overlooked by official data, strengthening both public trust and institutional credibility. Designed for scalability and interoperability, Safely aligns with EU standards (CADaS, GDPR, EIF) and integrates seamlessly into municipal workflows. Its replication package and modular, cloud-based architecture make it accessible to cities of all sizes and resource levels. With its combination of holistic analytics, geospatial visualization, and machine learning, Safely provides a cost-efficient, scalable, and innovative approach to reducing road crashes and saving lives.",Across Countries,Bosnia and Herzegovina,BA01,Parabol - Mobility for All,Local Government,Public order and safety,Public order and safety n.e.c.,Pilot,2025,,Internal management,Internal support processes,Yes,No,Artificial Intelligence,,G2C,x,,x,x,x,x,,,,,,,,,,,,,Self-reporting tool ,Planning,Planning and Scheduling,,,,,"Consortium (research institutions, private sector and other PAs)",,EU-funded project,,,,,,,30/09/2025,
PSTW-2394,Assistente Virtuale Julia,https://julia.comune.roma.it/it/,"Julia is an advanced virtual assistant developed by the Municipality of Rome in collaboration with Microsoft and OpenAI, designed to enhance the experience of tourists and residents, especially during significant events like the 2025 Jubilee. Julia offers personalised services to meet diverse user needs. With an estimated 35 million visitors expected during the 2025 Jubilee, Julia serves as a crucial tool for managing tourism flow, reducing congestion at major sites, and promoting sustainable tourism by highlighting diverse locations. This initiative exemplifies Rome's commitment to leveraging artificial intelligence to improve urban services and enrich the experiences of both visitors and residents. It is available 24/7 and it understands more than 80 languages.",Local,Italy,ITI4,Municipality of Rome,Local Government,General public services,General public services n.e.c.,Implemented,2025,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,Self-reporting tool ,Learning,Machine learning,Generative AI,,,chatbot,Private corporation,,National-funded project,No,Microsoft and OpenAI,,,,,09/10/2025,
PSTW-2402,Deaf.AI - AI for social inclusion,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/https-deafai/47,"Deaf.AI is a project by the German Association of the Deaf aimed at breaking down communication barriers for deaf individuals. By using artificial intelligence trained on extensive sign language video data, the project develops avatars capable of translating sign language automatically. Led by deaf professionals, the initiative ensures practical, needs-based development, promoting inclusivity and improving social and professional participation for the deaf community.",National,Germany,DE,Deutscher Gehörlosen-Bund e.V.,Non-governmental,Social protection,Sickness and disability.,Pilot,2024,2024,Public services and engagement,Service personalisation (various),No,Yes,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.civic-coding.de/en/project-map,Learning,Machine learning,Generative AI,Deep learning,,,GovTech,,National-funded project,Yes,,,,,,23/10/2025,
