PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),NUTS 2021,Responsible organisation,Responsible organisation category,Functions of Government (COFOG level I),Functions of Government (COFOG level II), Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Primary Technology,Secondary Technology,Interaction,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Collaboration type,Procurement (EU Model Contractual AI),Funding source,GovTech,Company name or GovTech ID,GovTech Initiative + ID,Open components in input,Open components in output,Stories link,Date updated,Unnamed: 56,Relevance Flag
PSTW-2422,AI-Traffic solutions used in multiple Italian public administrations to monitor traffic,https://prd-mediarepository.cwsfirabarcelona.com/ecatalogue/J078024/files/products/65103/202305_Flyer_AITRAFFIC_EN.pdf,"AI-TRAFFIC is a video analytics solution powered by advanced deep learning, offering real-time vehicle monitoring with high accuracy—even in challenging conditions like tunnels, poor weather, or dense urban settings. Integrating features from AI-ROAD3D and AI-INCIDENT, it can classify vehicles, estimate speed and colour, and detect risky behaviours such as wrong-way driving or pedestrians in restricted zones. It also monitors traffic flow, congestion, and origin-destination patterns. Already adopted across Italian municipalities, airports, and beyond, AI-TRAFFIC enhances road safety and traffic management through intelligent automation.",Local,Italy,ITF,"City of Afragola, City of Bari and others",Local Government,Economic affairs,Transport,Implemented,2024,,Enforcement,Smart Recognition processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://ecatalogue.firabarcelona.com/smartcityexpo2024/product/65103/detail?lang=en_GB,Perception,Computer vision,,,,,GovTech,,,Yes,A.I. Tech Srl,,,,,11/6/2025,,0
PSTW-2423,AI4Life - AI-based smart intersection management system in Instanbul,https://www.urbantechnologyalliance.org/portfolio/urban-intersection-management/,"The AI4LIFE project targets urban challenges at intersections, which contribute to high greenhouse gas emissions, traffic congestion, and road fatalities, costing Europe billions annually. By developing an AI-based smart intersection management system, AI4LIFE aims to reduce traffic, emissions, accidents, and enhance urban quality of life. The city of Istanbul and Isbak (the municipal company of Istanbul) have deployed an AI-based smart intersection management system. This system is designed to reduce congestion by optimising traffic flow and reducing stop-and-go driving conditions, thereby cutting greenhouse gas emissions and reclaiming hours otherwise lost in traffic.",Local,Türkiye,TR100,City of Instanbul,Local Government,Economic affairs,Transport,Pilot,2024,,Enforcement,Smart Recognition processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://ecatalogue.firabarcelona.com/smartcityexpo2024/product/65082/detail?lang=en_GB,Perception,Computer vision,,,,,GovTech,,,Yes,,Urban Technology Alliance - GT-125,,,,11/6/2025,,0
PSTW-2429,Video-based Intelligent solution for traffic monitoring in the Municipality of České Budějovice,https://ecatalogue.firabarcelona.com/smartcityexpo2024/product/64679/detail?lang=en_GB,"České Budějovice, the largest city in Southern Bohemia, faced significant challenges in managing urban mobility. The city needed to address growing traffic congestion and improve overall transportation efficiency to sustain its economic and social activities. Sprinx, in partnership with distributor Gemtech and system integrators Abbas and Swarco Traffic CZ, implemented an advanced traffic analysis and monitoring system in České Budějovice using  the analytics software, co.exist. The system utilises over 100 server-side Hanwha Vision cameras strategically placed throughout the city to monitor and analyse urban mobility. Key features of the solution include vehicle counting and classification, detection of stops within intersections, and identification of potential traffic jams.",Local,Czechia,CZ031,Municipality of České Budějovice,Local Government,Economic affairs,Transport,Pilot,2024,,Enforcement,Smart Recognition processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,,,x,,,,,,,,https://sprinx.ai/case-studies/,Perception,Computer vision,Planning and Scheduling,,,,GovTech,,,Yes,Sprinx - GTS-1080,,,,,11/6/2025,,0
PSTW-2432,Consult - AI for public engagement (part of the Humphrey toolkit),https://ai.gov.uk/projects/consult/,"Consult is an AI-powered tool developed by the UK's Incubator for Artificial Intelligence (i.AI) in collaboration with the No10 Data Science team (10DS). It aims to streamline the analysis of public consultation responses by automatically identifying patterns and themes within large datasets. This automation allows policy makers to efficiently interpret public feedback, reducing the time and resources traditionally required for such analyses. By leveraging AI and data science techniques, Consult enhances the government's ability to develop informed policies based on comprehensive public input. i.AI has developed a brand new technique for topic modelling using Large Language Models (LLMs), that takes a two step approach: (1) Identify the themes in a set of responses that are descriptive, context aware and relevant to human analysts and (2) Map those themes back onto the responses. By breaking down the process into these two steps, the app gives the human analysts full control over the process. The outputs here give the analysts key insights into the views of the public.",National,United Kingdom,UK,"i.AI - Department for Science, Innovation, and Technology",Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2024,,Public services and engagement,Engagement management,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,x,,x,x,x,x,,https://ai.gov.uk/projects/,Learning,Machine learning,Generative AI,,,,Fully internal,,,No,,,,https://github.com/i-dot-ai/consult,,11/6/2025,,3
PSTW-2433,Parlex - Forecasting Parliamentary Reactions (part of the Humphrey toolkit),https://ai.gov.uk/projects/parlex-and-lex/,"Parlex allows users to forecast parliamentary reactions to proposed policies. By analysing years of parliamentary debate contributions from MPs and Peers, Parlex offers insights into how parliament might react to a new policy if it were debated tomorrow. This tool helps policy professionals gauge parliamentary sentiment towards specific issues, determining whether a policy will be well-received or face significant opposition. Using the Renters’ Rights Bill as an example, users are able to see which members of parliament have spoken about this topic in the past, and see a summary of their views, categorised by whether they are in favour or against the policy. This allows policy teams to understand the political climate and anticipate potential challenges or support for a policy before it is formally proposed and to build a parliamentary handling strategy.",National,United Kingdom,UK,"i.AI - Department for Science, Innovation, and Technology",Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2024,,"Analysis, monitoring and regulatory research",Innovating Public Policy ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,,,,,,https://www.theguardian.com/technology/2025/jan/20/ai-tool-can-give-ministers-vibe-check-on-whether-mps-will-like-policies,Learning,Machine learning,Generative AI,,,,Fully internal,,,No,,,,,,11/6/2025,,2
PSTW-2434,Lex - Simplifying Legislative Research (part of the Humphrey toolkit),https://ai.gov.uk/projects/parlex-and-lex/,"Lex is designed to aid in legislative research. Through the Lexplorer interface, users can ask questions in everyday language like, ""Tell me about legislation on flying drones near airports,"" and receive a detailed analysis and summary of the relevant laws, citing precise sections of the legislation. This tool eliminates the need for users to have prior knowledge of where to look or the specific terms or keywords used in the relevant pieces of legislation. Lex is powered by nine tools that help it search, summarise and understand the interconnections between legislation, case law, and explanatory notes. We have indexed a vector database of over 1.5 million sections of legislation and 63,000 cases to power the search behind these tools. Further tools help it structure and improve its research process via an adversarial mechanism. Lex uses its legal expertise to inform which of these tools are best to help it provide a detailed analysis and summary of the relevant laws to answer a user query.",National,United Kingdom,UK,"i.AI - Department for Science, Innovation, and Technology",Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2025,,"Analysis, monitoring and regulatory research",Innovating Public Policy ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,,,,,,https://ai.gov.uk/projects/parlex-and-lex/,Learning,Machine learning,Generative AI,,,,Fully internal,,,No,,,,,,11/6/2025,,2
PSTW-2435,Minute - AI transcription service (part of the Humphrey toolkit),https://ai.gov.uk/projects/minute/,"Minute is a secure AI transcription service developed by the UK's Incubator for Artificial Intelligence (i.AI). It produces customisable summaries tailored to the needs of public servants, enhancing efficiency in meeting documentation.",National,United Kingdom,UK,"i.AI - Department for Science, Innovation, and Technology",Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,x,,,,,,,https://ai.gov.uk/projects/,Learning,Machine learning,Generative AI,,,,Fully internal,,,No,,,,,,11/6/2025,,0
PSTW-2436,Caddy - AI powered tool for customer service functions (part of the Humphrey toolkit),https://ai.gov.uk/projects/caddy/,"Caddy was born from a collaboration between i.AI and Citizens Advice Stockport, Oldham, Rochdale & Trafford (CASORT). This AI-powered assistant acts as a copilot for customer service agents, empowering them to provide high-quality, actionable advice quickly and securely.",National,United Kingdom,UK,"i.AI - Department for Science, Innovation, and Technology",Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://ai.gov.uk/projects/,Learning,Machine learning,,,,,Other PAs,,,No,,,,,,11/6/2025,,0
PSTW-2437,Scout - AI-powered tool to improve government major project delivery,https://ai.gov.uk/projects/scout/,"Scout is an AI-powered tool developed by the UK’s Incubator for Artificial Intelligence (i.AI) to improve oversight of major government projects, which account for over £805 billion in whole-life spending. Currently, project reviews by the Infrastructure and Projects Authority (IPA) involve days of manual document analysis, risking inconsistency and knowledge silos. Scout streamlines this process by using AI to analyse review documents in under five minutes. It breaks down documents, generates summaries, and stores them in a vector database for fast retrieval. Scout includes two key modules: the Review module, which checks documents against IPA guidelines with source citations, and the Detect module, which finds patterns and potential issues across documents. All insights are grounded in official IPA review handbooks to ensure reliability.",National,United Kingdom,UK,"i.AI - Department for Science, Innovation, and Technology and Infrastructure and Projects Authority (IPA)",Central-Government,Economic affairs,"Mining, manufacturing and construction.",Pilot,2024,,Internal management,Internal management processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,,x,,,,,,,,https://www.gov.uk/government/news/government-to-harness-the-power-of-ai-to-improve-public-project-delivery-under-new-framework,Learning,Machine learning,Generative AI,,,,Other PAs,,,No,,,,https://github.com/i-dot-ai/scout,,11/6/2025,,3
PSTW-2438,Connect - AI to match capacity to demand in the Grid connections queue,https://ai.gov.uk/projects/connect/,"Connect is an AI-driven initiative by the UK's Incubator for Artificial Intelligence (i.AI) aimed at optimising the allocation of capacity in the national grid connections queue. By employing advanced matching algorithms, Connect seeks to align available grid capacity with demand more effectively, thereby reducing waitlists and encouraging investment in renewable energy projects.",National,United Kingdom,UK,"i.AI - Department for Science, Innovation, and Technology",Central-Government,Economic affairs,Fuel and energy,In development,2024,,Internal management,Internal management processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,,x,,,,,,,,https://ai.gov.uk/projects/,Learning,Machine learning,Optimisation,Planning and Scheduling,,,Other PAs,,,No,,,,,,11/6/2025,,0
PSTW-2439,AI to analyse X-ray images for bone fractures and joint injuries in the healthcare system,https://www.regioner.dk/services/nyheder/2025/februar/40-6-mio-kr-til-at-brede-kunstig-intelligens-loesninger-ud-til-flere-dele-af-landet/,"Artificial intelligence can analyse X-rays and identify bone fractures and joint injuries. This is currently taking place in the accident and emergency departments of the North Jutland Region. The solution can support decision-making in the analysis of injury-related X-rays for bone fractures and joint injuries, as it can automatically assess scans and determine with high accuracy whether a fracture is present. This could help reduce waiting times in emergency departments and injury clinics, and ease the burden on staff during out-of-hours periods. The initiative aims to roll out the artificial intelligence solution to all other regions of the country. Implementation is planned for 2024–2027, supported by a grant of DKK 9.3 million.",Regional,Denmark,DK05,North Jutland Region,Regional Government,Health,Public health services.,In development,2024,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2C,x,,x,x,x,x,,,,,,,,,,,,,https://www.regioner.dk/services/nyheder/2025/februar/40-6-mio-kr-til-at-brede-kunstig-intelligens-loesninger-ud-til-flere-dele-af-landet/,Perception,Computer vision,Machine learning,,,,Other PAs,,National-funded project,No,,,,,,11/6/2025,,4
PSTW-2442,VisitMadridGPT - Transforming tourism in Madrid,https://www.microsoft.com/en/customers/story/19546-madrid-destino-madrid-city-council-azure-open-ai-service,"​The City of Madrid has developed VisitMadridGPT, an AI-powered virtual assistant, using Microsoft Azure OpenAI Service. This innovative tool provides tourists with accurate, real-time information and personalised responses in over 95 languages, enhancing the overall visitor experience. Additionally, it allows city officials to analyze user interactions to better understand tourist needs. Notably, the assistant has achieved a low bounce rate, with users spending an average of four minutes and 18 seconds per session, indicating its effectiveness and user engagement.",Local,Spain,ES30,City of Madrid,Local Government,"Recreation, culture and religion",Cultural services.,Implemented,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.microsoft.com/en/customers/story/19546-madrid-destino-madrid-city-council-azure-open-ai-service,Learning,Machine learning,Generative AI,,,chatbot,Private corporation,,,No,Microsoft,,,,,11/6/2025,,0
PSTW-2452,AI-augmented system for predicting electricity consumption in Serbia,https://www.ekapija.com/en/news/4468129/eps-developed-an-ai-augmented-system-for-predicting-electricity-consumption,"Electric Power Company of Serbia (EPS) has developed an AI-enhanced system for forecasting electricity consumption, leveraging machine learning techniques to predict demand with greater accuracy. This technology allows for optimised energy distribution and grid management by anticipating fluctuations in usage. The system integrates real-time data, helping to improve operational efficiency and resource allocation. It also supports the energy sector's efforts to enhance sustainability and reduce waste, ultimately contributing to smarter energy management across the grid.",National,Serbia,SRB,Electric Power Company of Serbia (EPS) ,Central-Government,Economic affairs,Fuel and energy,Implemented,2023,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,,x,x,,,,,,,,https://www.eupan.eu/wp-content/uploads/2024/12/HU_eNews-on-Examples-of-recently-launched-digital-public-service-innovations.pdf,Planning,Planning and Scheduling,,,,,,,,,,,,,,11/6/2025,,2
PSTW-2459,AMS Berufs Infomat - personalized career advice for job seekers,https://www.ams.at/arbeitsuchende/aus-und-weiterbildung/berufsinformationen/berufsinformation/berufsinfomat?open=berufsinfomat&ref=alexanderchukovski.com,"The AMS Career Infomat answers questions about careers, training, and continuing education. It uses advanced AI technology, particularly ChatGPT, to formulate dynamic answers.",National,Austria,AT,Austrian Public Employment Service (AMS),Central-Government,Economic affairs,Economic affairs n.e.c,Implemented,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Governing-AI-Blueprint-for-Austria.pdf,Learning,Machine learning,Generative AI,,,,,,,,,,,,,11/6/2025,,0
PSTW-2462,Generative-AI based chatbot for the Cypriot Government Portal,https://www.gov.cy/,"The ""Digital Assistant"" is the first Generative Artificial Intelligence application in the Cypriot public sector, and is operational on the government portal gov.cy. According to a statement by the Deputy Ministry of Research, Innovation, and Digital Policy, its goal is to facilitate quicker and more immediate communication between citizens and the state, providing information on issues of concern on a 24/7 basis.",National,Cyprus,CY,Government of Cyprus,Central-Government,General public services,General public services n.e.c.,Implemented,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://fastforward.com.cy/tech/cyprus-launches-1st-ai-digital-assistant-govcy,Learning,Machine learning,Generative AI,,,,Private corporation,,,No,Microsoft,,,,,11/6/2025,,3
PSTW-2469,Streamlining Environmental Permitting Processes with Multi-Agent AI in Denmark,https://www.cbrain.com/case-study/ai-assisted-environmental-permitting,"The digital transformation of the Danish environmental permitting process has improved efficiency, transparency, and compliance. By transitioning from a traditionally lengthy and manual process to a fully digital and AI-assisted system, the EPA has been able to process applications faster while maintaining regulatory integrity. The structured workflow has eliminated bottlenecks, ensuring that permits are reviewed and approved in a timely manner. The centralized platform has improved coordination among agencies and stakeholders, reducing uncertainty for project developers. Applicants now have real-time access to their application status, improving predictability in the permitting process. Additionally, the integration of AI has enhanced regulatory decision-making by providing caseworkers with access to historical data and analytical tools, improving both accuracy and efficiency. By leveraging digital tools and AI-driven insights, the Danish EPA has established a scalable and replicable model for modernizing environmental permitting. The new system not only accelerates approvals for renewable energy projects but also ensures that environmental regulations are enforced with greater consistency and reliability. The transformation of the permitting process serves as a model for other agencies seeking to optimise complex regulatory procedures while supporting national and international climate goals. The solution was designed with cBrain.",National,Denmark,DK,Danish Environmental Protection Agency,Central-Government,Environmental protection,Environmental protection n.e.c.,Implemented,2024,,Internal management,Internal primary processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,x,,x,,,,,https://www.cbrain.com/company/about,Reasoning,Optimisation,Automated reasoning and Automated Decision Making (ADM),,,,Private corporation,,,,cBrain,,,,,11/6/2025,,2
